,Ranking,Artist,Title,Streams,Daily,Year,Song_ID,Acousticness,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
38,39,Alan Walker,Faded,"1,761,179,696","513,613",2015,698ItKASDavgwZ3WjaWjtz,0.0281,0.468,3.5351166666666667,0.627,7.97e-06,0.11,-5.085,0.0476,179.642,0.159
39,40,Billie Eilish,lovely (with Khalid),"1,759,553,236","1,082,656",2018,0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,3.3364333333333334,0.296,0.0,0.095,-10.109,0.0333,115.284,0.12
40,41,DJ Snake,Let Me Love You,"1,743,223,209","622,577",2016,0lYBSQXN6rCTvUZvg9S0lU,0.0863,0.649,3.43245,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,0.163
41,42,The Weeknd,Save Your Tears,"1,723,120,625","2,650,488",2020,5QO79kh1waicV47BqGRL3g,0.0212,0.68,3.5937833333333336,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,0.644
42,43,Travis Scott,SICKO MODE,"1,722,131,142","514,958",2018,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,5.213666666666667,0.73,0.0,0.124,-3.714,0.222,155.008,0.446
43,44,Passenger,Let Her Go,"1,716,982,435","763,827",2012,0JmiBCpWc1IAc0et7Xm7FL,0.365,0.479,4.2122166666666665,0.545,0.0,0.0963,-7.346,0.0688,74.897,0.243
44,45,Marshmello,Happier,"1,714,910,313","566,049",2018,2tGvwE8GcFKwNdAXMnlbfl,0.765,0.395,2.9322166666666667,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,0.338
45,46,Ariana Grande,7 rings,"1,714,186,997","654,156",2019,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,2.977116666666667,0.317,0.0,0.0881,-10.732,0.334,140.048,0.327
46,47,Ed Sheeran,I Don't Care (with Justin Bieber),"1,709,965,992","578,410",2019,3HVWdVOQ0ZA45FuZGSfvns,0.0912,0.798,3.665783333333333,0.675,0.0,0.0894,-5.041,0.0442,101.956,0.842
47,48,Post Malone,Circles,"1,707,026,993","822,937",2019,21jGcNKet2qwijlDFuPiPb,0.192,0.695,3.588,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.553
48,49,The Kid LAROI,STAY (with Justin Bieber),"1,705,140,245","3,162,815",2021,5HCyWlXZPP0y6Gqq8TgA20,0.0383,0.591,2.3634333333333335,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478
49,50,Harry Styles,Watermelon Sugar,"1,702,999,013","1,659,730",2019,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,2.9,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557
